disease,pageid,url
Deaf plus,66811647,https://en.wikipedia.org/wiki/Deaf_plus
Coloboma,1417007,https://en.wikipedia.org/wiki/Coloboma
Hyperprolactinaemia,316759,https://en.wikipedia.org/wiki/Hyperprolactinaemia
Chikungunya,366112,https://en.wikipedia.org/wiki/Chikungunya
Mosquito-borne disease,21054623,https://en.wikipedia.org/wiki/Mosquito-borne_disease
Macrophage,169270,https://en.wikipedia.org/wiki/Macrophage
2007 in Africa,9141088,https://en.wikipedia.org/wiki/2007_in_Africa
Julie Ledgerwood,49827590,https://en.wikipedia.org/wiki/Julie_Ledgerwood
2006 in Africa,3713452,https://en.wikipedia.org/wiki/2006_in_Africa
Cholangiocarcinoma,968777,https://en.wikipedia.org/wiki/Cholangiocarcinoma
Bile duct,197021,https://en.wikipedia.org/wiki/Bile_duct
Pancreaticoduodenectomy,1228480,https://en.wikipedia.org/wiki/Pancreaticoduodenectomy
Ultrasonography of liver tumors,56097094,https://en.wikipedia.org/wiki/Ultrasonography_of_liver_tumors
Cholera,7591,https://en.wikipedia.org/wiki/Cholera
Diseases and epidemics of the 19th century,42972033,https://en.wikipedia.org/wiki/Diseases_and_epidemics_of_the_19th_century
Pandemic,24255,https://en.wikipedia.org/wiki/Pandemic
Thomas Shapter,28115875,https://en.wikipedia.org/wiki/Thomas_Shapter
Persian famine of 1917–1919,51136045,https://en.wikipedia.org/wiki/Persian_famine_of_1917–1919
Lysosomal acid lipase deficiency,30896077,https://en.wikipedia.org/wiki/Lysosomal_acid_lipase_deficiency
Calcium pyrophosphate dihydrate crystal deposition disease,2425583,https://en.wikipedia.org/wiki/Calcium_pyrophosphate_dihydrate_crystal_deposition_disease
Chordoma,5369367,https://en.wikipedia.org/wiki/Chordoma
Cervicocranial syndrome,52980699,https://en.wikipedia.org/wiki/Cervicocranial_syndrome
Choroideremia,3800988,https://en.wikipedia.org/wiki/Choroideremia
Rab (G-protein),912087,https://en.wikipedia.org/wiki/Rab_(G-protein)
Gene therapy of the human retina,27110987,https://en.wikipedia.org/wiki/Gene_therapy_of_the_human_retina
Ring chromosome 18,33094020,https://en.wikipedia.org/wiki/Ring_chromosome_18
18p-,18832531,https://en.wikipedia.org/wiki/18p-
18p,19092580,https://en.wikipedia.org/wiki/18p
Tetrasomy,20106197,https://en.wikipedia.org/wiki/Tetrasomy
Chromosome 18,3407906,https://en.wikipedia.org/wiki/Chromosome_18
DiGeorge syndrome,3724035,https://en.wikipedia.org/wiki/DiGeorge_syndrome
Genocopy,42912705,https://en.wikipedia.org/wiki/Genocopy
Chromosome 5,3402664,https://en.wikipedia.org/wiki/Chromosome_5
Chromosome 7,3402887,https://en.wikipedia.org/wiki/Chromosome_7
Monosomy 9p,5219268,https://en.wikipedia.org/wiki/Monosomy_9p
Tetrasomy 9p,20106398,https://en.wikipedia.org/wiki/Tetrasomy_9p
Chromosome 9,3406778,https://en.wikipedia.org/wiki/Chromosome_9
Chronic granulomatous disease,640657,https://en.wikipedia.org/wiki/Chronic_granulomatous_disease
Lentiviral vector in gene therapy,39319146,https://en.wikipedia.org/wiki/Lentiviral_vector_in_gene_therapy
Sialadenitis,5557694,https://en.wikipedia.org/wiki/Sialadenitis
Chronic inflammatory demyelinating polyneuropathy,4666404,https://en.wikipedia.org/wiki/Chronic_inflammatory_demyelinating_polyneuropathy
Chronic lymphocytic leukemia,454231,https://en.wikipedia.org/wiki/Chronic_lymphocytic_leukemia
Alemtuzumab,2878098,https://en.wikipedia.org/wiki/Alemtuzumab
Virtual karyotype,21777359,https://en.wikipedia.org/wiki/Virtual_karyotype
Mir-181 microRNA precursor,11421230,https://en.wikipedia.org/wiki/Mir-181_microRNA_precursor
Chronic myelogenous leukemia,559874,https://en.wikipedia.org/wiki/Chronic_myelogenous_leukemia
Imatinib,561843,https://en.wikipedia.org/wiki/Imatinib
Musashi-2,51597599,https://en.wikipedia.org/wiki/Musashi-2
Eosinophilic granulomatosis with polyangiitis,999229,https://en.wikipedia.org/wiki/Eosinophilic_granulomatosis_with_polyangiitis
Zafirlukast,1045557,https://en.wikipedia.org/wiki/Zafirlukast
Scarring hair loss,20672504,https://en.wikipedia.org/wiki/Scarring_hair_loss
Pseudopelade of Brocq,20672593,https://en.wikipedia.org/wiki/Pseudopelade_of_Brocq
Ciguatera fish poisoning,714646,https://en.wikipedia.org/wiki/Ciguatera_fish_poisoning
Citrullinemia,1908014,https://en.wikipedia.org/wiki/Citrullinemia
Argininosuccinate synthase,3538983,https://en.wikipedia.org/wiki/Argininosuccinate_synthase
Infantile neuronal ceroid lipofuscinosis,2217803,https://en.wikipedia.org/wiki/Infantile_neuronal_ceroid_lipofuscinosis
Cleidocranial dysostosis,3883492,https://en.wikipedia.org/wiki/Cleidocranial_dysostosis
Tooth eruption,9046614,https://en.wikipedia.org/wiki/Tooth_eruption
RUNX2,7725171,https://en.wikipedia.org/wiki/RUNX2
Gas gangrene,2685011,https://en.wikipedia.org/wiki/Gas_gangrene
CLOVES syndrome,46218322,https://en.wikipedia.org/wiki/CLOVES_syndrome
Cluster headache,310429,https://en.wikipedia.org/wiki/Cluster_headache
Triptan,843361,https://en.wikipedia.org/wiki/Triptan
Demand valve oxygen therapy,59693509,https://en.wikipedia.org/wiki/Demand_valve_oxygen_therapy
Cockayne syndrome,1493053,https://en.wikipedia.org/wiki/Cockayne_syndrome
ERCC6,14753801,https://en.wikipedia.org/wiki/ERCC6
Transneuronal degeneration,23424731,https://en.wikipedia.org/wiki/Transneuronal_degeneration
Coffin–Lowry syndrome,1492806,https://en.wikipedia.org/wiki/Coffin–Lowry_syndrome
Coffin–Siris syndrome,13336758,https://en.wikipedia.org/wiki/Coffin–Siris_syndrome
Cohen syndrome,4073083,https://en.wikipedia.org/wiki/Cohen_syndrome
VPS13B,13393561,https://en.wikipedia.org/wiki/VPS13B
Cold agglutinin disease,4517757,https://en.wikipedia.org/wiki/Cold_agglutinin_disease
Ii antigen system,10406954,https://en.wikipedia.org/wiki/Ii_antigen_system
Cold antibody hemolytic anemia,19837899,https://en.wikipedia.org/wiki/Cold_antibody_hemolytic_anemia
Colorado tick fever,387188,https://en.wikipedia.org/wiki/Colorado_tick_fever
Common variable immunodeficiency,3011148,https://en.wikipedia.org/wiki/Common_variable_immunodeficiency
Immunodeficiency,629684,https://en.wikipedia.org/wiki/Immunodeficiency
Complex regional pain syndrome,56283,https://en.wikipedia.org/wiki/Complex_regional_pain_syndrome
Cone dystrophy,2410914,https://en.wikipedia.org/wiki/Cone_dystrophy
Congenital adrenal hyperplasia,506980,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia
21-Hydroxylase,8852888,https://en.wikipedia.org/wiki/21-Hydroxylase
Hyperandrogenism,1242028,https://en.wikipedia.org/wiki/Hyperandrogenism
Cell-free fetal DNA,38788101,https://en.wikipedia.org/wiki/Cell-free_fetal_DNA
Neurosexism,60271117,https://en.wikipedia.org/wiki/Neurosexism
Congenital afibrinogenemia,3250029,https://en.wikipedia.org/wiki/Congenital_afibrinogenemia
Fibrinogen,238687,https://en.wikipedia.org/wiki/Fibrinogen
Congenital bilateral perisylvian syndrome,48452898,https://en.wikipedia.org/wiki/Congenital_bilateral_perisylvian_syndrome
Congenital contractural arachnodactyly,11336104,https://en.wikipedia.org/wiki/Congenital_contractural_arachnodactyly
Gunther disease,1123720,https://en.wikipedia.org/wiki/Gunther_disease
Congenital fiber type disproportion,26280326,https://en.wikipedia.org/wiki/Congenital_fiber_type_disproportion
Congenital fibrosis of the extraocular muscles,25240263,https://en.wikipedia.org/wiki/Congenital_fibrosis_of_the_extraocular_muscles
Congenital generalized lipodystrophy,21894136,https://en.wikipedia.org/wiki/Congenital_generalized_lipodystrophy
Seipin,48370875,https://en.wikipedia.org/wiki/Seipin
Congenital heart block,63072534,https://en.wikipedia.org/wiki/Congenital_heart_block
Congenital hepatic fibrosis,12022813,https://en.wikipedia.org/wiki/Congenital_hepatic_fibrosis
Congenital hyperinsulinism,1306596,https://en.wikipedia.org/wiki/Congenital_hyperinsulinism
Nesidioblastosis,1306539,https://en.wikipedia.org/wiki/Nesidioblastosis
Congenital lactic acidosis,48465378,https://en.wikipedia.org/wiki/Congenital_lactic_acidosis
Congenital muscular dystrophy,5144459,https://en.wikipedia.org/wiki/Congenital_muscular_dystrophy
Omigapil,3139976,https://en.wikipedia.org/wiki/Omigapil
Neuromuscular junction,681908,https://en.wikipedia.org/wiki/Neuromuscular_junction
Congenital myopathy,9078504,https://en.wikipedia.org/wiki/Congenital_myopathy
Hypoplasminogenemia,17796870,https://en.wikipedia.org/wiki/Hypoplasminogenemia
Sucrose intolerance,7987234,https://en.wikipedia.org/wiki/Sucrose_intolerance
Congenital syphilis,1043913,https://en.wikipedia.org/wiki/Congenital_syphilis
Chickenpox,18821046,https://en.wikipedia.org/wiki/Chickenpox
Conradi–Hünermann syndrome,6703618,https://en.wikipedia.org/wiki/Conradi–Hünermann_syndrome
Cor triatriatum,3418271,https://en.wikipedia.org/wiki/Cor_triatriatum
Epithelial basement membrane dystrophy,23551309,https://en.wikipedia.org/wiki/Epithelial_basement_membrane_dystrophy
Macular corneal dystrophy,22810703,https://en.wikipedia.org/wiki/Macular_corneal_dystrophy
Meesmann corneal dystrophy,21746669,https://en.wikipedia.org/wiki/Meesmann_corneal_dystrophy
Schnyder crystalline corneal dystrophy,23508230,https://en.wikipedia.org/wiki/Schnyder_crystalline_corneal_dystrophy
Posterior polymorphous corneal dystrophy,23476595,https://en.wikipedia.org/wiki/Posterior_polymorphous_corneal_dystrophy
Cornelia de Lange syndrome,11526933,https://en.wikipedia.org/wiki/Cornelia_de_Lange_syndrome
SMC1A,12035645,https://en.wikipedia.org/wiki/SMC1A
Establishment of sister chromatid cohesion,29993443,https://en.wikipedia.org/wiki/Establishment_of_sister_chromatid_cohesion
SMC3,14775288,https://en.wikipedia.org/wiki/SMC3
CDLS,5359461,https://en.wikipedia.org/wiki/CDLS
Corticobasal degeneration,2844680,https://en.wikipedia.org/wiki/Corticobasal_degeneration
Costello syndrome,3572469,https://en.wikipedia.org/wiki/Costello_syndrome
HRAS,3572611,https://en.wikipedia.org/wiki/HRAS
Craniofrontonasal dysplasia,7371336,https://en.wikipedia.org/wiki/Craniofrontonasal_dysplasia
Craniometaphyseal dysplasia,46424372,https://en.wikipedia.org/wiki/Craniometaphyseal_dysplasia
Craniopharyngioma,3085444,https://en.wikipedia.org/wiki/Craniopharyngioma
Creatine transporter defect,41103769,https://en.wikipedia.org/wiki/Creatine_transporter_defect
Creutzfeldt–Jakob disease,5617,https://en.wikipedia.org/wiki/Creutzfeldt–Jakob_disease
Mepacrine,1362163,https://en.wikipedia.org/wiki/Mepacrine
Cri du chat syndrome,1341703,https://en.wikipedia.org/wiki/Cri_du_chat_syndrome
Crigler–Najjar syndrome,3184775,https://en.wikipedia.org/wiki/Crigler–Najjar_syndrome
Cronkhite–Canada syndrome,7136950,https://en.wikipedia.org/wiki/Cronkhite–Canada_syndrome
Crouzon syndrome,1410061,https://en.wikipedia.org/wiki/Crouzon_syndrome
Cryptococcosis,743429,https://en.wikipedia.org/wiki/Cryptococcosis
Granuloma,446252,https://en.wikipedia.org/wiki/Granuloma
List of pathology mnemonics,58609951,https://en.wikipedia.org/wiki/List_of_pathology_mnemonics
Cutis laxa,5018294,https://en.wikipedia.org/wiki/Cutis_laxa
Cutis marmorata telangiectatica congenita,7024081,https://en.wikipedia.org/wiki/Cutis_marmorata_telangiectatica_congenita
Cyclic neutropenia,2317059,https://en.wikipedia.org/wiki/Cyclic_neutropenia
Elastase,604255,https://en.wikipedia.org/wiki/Elastase
Cyclic vomiting syndrome,1173050,https://en.wikipedia.org/wiki/Cyclic_vomiting_syndrome
Ondansetron,1145676,https://en.wikipedia.org/wiki/Ondansetron
Health of Charles Darwin,1705387,https://en.wikipedia.org/wiki/Health_of_Charles_Darwin
Abdominal migraine,36579642,https://en.wikipedia.org/wiki/Abdominal_migraine
Cystic fibrosis,50601,https://en.wikipedia.org/wiki/Cystic_fibrosis
Bronchiectasis,331633,https://en.wikipedia.org/wiki/Bronchiectasis
Glutathione,81625,https://en.wikipedia.org/wiki/Glutathione
Dornase alfa,2462634,https://en.wikipedia.org/wiki/Dornase_alfa
Kin Canada,13997694,https://en.wikipedia.org/wiki/Kin_Canada
Orphan drug,395889,https://en.wikipedia.org/wiki/Orphan_drug
Pancreatic disease,5323147,https://en.wikipedia.org/wiki/Pancreatic_disease
Genetic heterogeneity,19031047,https://en.wikipedia.org/wiki/Genetic_heterogeneity
Lingual lipase,1880909,https://en.wikipedia.org/wiki/Lingual_lipase
Lactoferrin,658700,https://en.wikipedia.org/wiki/Lactoferrin
Germline mutation,1150680,https://en.wikipedia.org/wiki/Germline_mutation
Pyocyanin,20117898,https://en.wikipedia.org/wiki/Pyocyanin
Health among the Amish,47572007,https://en.wikipedia.org/wiki/Health_among_the_Amish
Frameshift mutation,610997,https://en.wikipedia.org/wiki/Frameshift_mutation
Respiratory therapist,48614,https://en.wikipedia.org/wiki/Respiratory_therapist
Heterozygote advantage,886093,https://en.wikipedia.org/wiki/Heterozygote_advantage
Respiratory tract antimicrobial defense system,26108726,https://en.wikipedia.org/wiki/Respiratory_tract_antimicrobial_defense_system
Channel blocker,18983276,https://en.wikipedia.org/wiki/Channel_blocker
Human disease modifier gene,50619245,https://en.wikipedia.org/wiki/Human_disease_modifier_gene
Newborn screening,768605,https://en.wikipedia.org/wiki/Newborn_screening
Cardiovascular and pulmonary physiotherapy,45280628,https://en.wikipedia.org/wiki/Cardiovascular_and_pulmonary_physiotherapy
Cysticercosis,760951,https://en.wikipedia.org/wiki/Cysticercosis
Eucestoda,3103149,https://en.wikipedia.org/wiki/Eucestoda
Taenia solium,1588158,https://en.wikipedia.org/wiki/Taenia_solium
Neurocysticercosis,5695214,https://en.wikipedia.org/wiki/Neurocysticercosis
Neglected tropical diseases in India,62872210,https://en.wikipedia.org/wiki/Neglected_tropical_diseases_in_India
Cystinosis,1899336,https://en.wikipedia.org/wiki/Cystinosis
CTNS (gene),14770301,https://en.wikipedia.org/wiki/CTNS_(gene)
Cystinuria,1017875,https://en.wikipedia.org/wiki/Cystinuria
MT-RNR1,14076141,https://en.wikipedia.org/wiki/MT-RNR1
MT-TT,20945482,https://en.wikipedia.org/wiki/MT-TT
MT-TR,20945472,https://en.wikipedia.org/wiki/MT-TR
MT-TI,20945449,https://en.wikipedia.org/wiki/MT-TI
MT-TE,20945429,https://en.wikipedia.org/wiki/MT-TE
MT-TK,20945452,https://en.wikipedia.org/wiki/MT-TK
MT-TF,20945435,https://en.wikipedia.org/wiki/MT-TF
MT-TN,20945463,https://en.wikipedia.org/wiki/MT-TN
Dandy–Walker malformation,3350633,https://en.wikipedia.org/wiki/Dandy–Walker_malformation
Cerebellar vermis,1562606,https://en.wikipedia.org/wiki/Cerebellar_vermis
Hydrocephalus,203297,https://en.wikipedia.org/wiki/Hydrocephalus
Danon disease,20068107,https://en.wikipedia.org/wiki/Danon_disease
De Barsy syndrome,32744230,https://en.wikipedia.org/wiki/De_Barsy_syndrome
Degos disease,4112395,https://en.wikipedia.org/wiki/Degos_disease
Dengue fever,39669,https://en.wikipedia.org/wiki/Dengue_fever
Dengue virus,927267,https://en.wikipedia.org/wiki/Dengue_virus
Zac Holtzman,50985370,https://en.wikipedia.org/wiki/Zac_Holtzman
Langerhans cell,1552139,https://en.wikipedia.org/wiki/Langerhans_cell
Antibody-dependent enhancement,10849236,https://en.wikipedia.org/wiki/Antibody-dependent_enhancement
Health in Thailand,16540871,https://en.wikipedia.org/wiki/Health_in_Thailand
Health in Singapore,16541350,https://en.wikipedia.org/wiki/Health_in_Singapore
Health in Vietnam,16541067,https://en.wikipedia.org/wiki/Health_in_Vietnam
National Environment Agency,2270498,https://en.wikipedia.org/wiki/National_Environment_Agency
Health in Liberia,35324576,https://en.wikipedia.org/wiki/Health_in_Liberia
Health in Cambodia,21248177,https://en.wikipedia.org/wiki/Health_in_Cambodia
Dentin dysplasia,7455510,https://en.wikipedia.org/wiki/Dentin_dysplasia
Dentinogenesis imperfecta,3674414,https://en.wikipedia.org/wiki/Dentinogenesis_imperfecta
Denys–Drash syndrome,5914684,https://en.wikipedia.org/wiki/Denys–Drash_syndrome
Opioid antagonist,3533299,https://en.wikipedia.org/wiki/Opioid_antagonist
Dercum's disease,5214845,https://en.wikipedia.org/wiki/Dercum's_disease
Adiposis dolorosa,4423443,https://en.wikipedia.org/wiki/Adiposis_dolorosa
Dermatitis herpetiformis,18722294,https://en.wikipedia.org/wiki/Dermatitis_herpetiformis
Gluten-related disorders,12034989,https://en.wikipedia.org/wiki/Gluten-related_disorders
Gluten-sensitive enteropathy–associated conditions,12228277,https://en.wikipedia.org/wiki/Gluten-sensitive_enteropathy–associated_conditions
Dermatomyositis,1054247,https://en.wikipedia.org/wiki/Dermatomyositis
Polymyositis,1727354,https://en.wikipedia.org/wiki/Polymyositis
Aggressive fibromatosis,5183650,https://en.wikipedia.org/wiki/Aggressive_fibromatosis
Diamond–Blackfan anemia,3076908,https://en.wikipedia.org/wiki/Diamond–Blackfan_anemia
Ribosomopathy,45211930,https://en.wikipedia.org/wiki/Ribosomopathy
GATA1,4694833,https://en.wikipedia.org/wiki/GATA1
Congenital hypoplastic anemia,21443615,https://en.wikipedia.org/wiki/Congenital_hypoplastic_anemia
Diastrophic dysplasia,1492129,https://en.wikipedia.org/wiki/Diastrophic_dysplasia
Diencephalic syndrome,47294362,https://en.wikipedia.org/wiki/Diencephalic_syndrome
Distal myopathy,6043175,https://en.wikipedia.org/wiki/Distal_myopathy
List of neuromuscular disorders,50880757,https://en.wikipedia.org/wiki/List_of_neuromuscular_disorders
DOOR syndrome,20731821,https://en.wikipedia.org/wiki/DOOR_syndrome
Acrodysostosis,10728191,https://en.wikipedia.org/wiki/Acrodysostosis
Acromegaly,20936195,https://en.wikipedia.org/wiki/Acromegaly
Octreotide,1411989,https://en.wikipedia.org/wiki/Octreotide
Insulin-like growth factor 1,632786,https://en.wikipedia.org/wiki/Insulin-like_growth_factor_1
Estrogen (medication),55840265,https://en.wikipedia.org/wiki/Estrogen_(medication)
Acromesomelic dysplasia,47868049,https://en.wikipedia.org/wiki/Acromesomelic_dysplasia
Acromicric dysplasia,5557406,https://en.wikipedia.org/wiki/Acromicric_dysplasia
Adrenocorticotropic hormone deficiency,3801305,https://en.wikipedia.org/wiki/Adrenocorticotropic_hormone_deficiency
Cholecystectomy,581931,https://en.wikipedia.org/wiki/Cholecystectomy
Acute disseminated encephalomyelitis,967,https://en.wikipedia.org/wiki/Acute_disseminated_encephalomyelitis
Acute eosinophilic pneumonia,47886205,https://en.wikipedia.org/wiki/Acute_eosinophilic_pneumonia
Acute intermittent porphyria,2788395,https://en.wikipedia.org/wiki/Acute_intermittent_porphyria
Health of Vincent van Gogh,5555420,https://en.wikipedia.org/wiki/Health_of_Vincent_van_Gogh
Acute myeloid leukemia,4323952,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Fanconi anemia,437943,https://en.wikipedia.org/wiki/Fanconi_anemia
MYH11,14774078,https://en.wikipedia.org/wiki/MYH11
Acute promyelocytic leukemia,1214213,https://en.wikipedia.org/wiki/Acute_promyelocytic_leukemia
Acute respiratory distress syndrome,482445,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
Treatment and management of COVID-19,64144585,https://en.wikipedia.org/wiki/Treatment_and_management_of_COVID-19
Adams–Oliver syndrome,3703334,https://en.wikipedia.org/wiki/Adams–Oliver_syndrome
Addison's disease,338699,https://en.wikipedia.org/wiki/Addison's_disease
